ph5_time=9.124000310897827, ph6_time=6.796999931335449
ph5_time=8.97799038887024, ph6_time=6.832000017166138
ph5_time=8.975010633468628, ph6_time=6.90199875831604
ph5_time=9.0469810962677, ph6_time=6.819999933242798
ph5_time=9.064000129699707, ph6_time=6.834018707275391
ph5_time=9.03600025177002, ph6_time=6.831000089645386
ph5_time=9.018000602722168, ph6_time=6.877999305725098
ph5_time=9.000000238418579, ph6_time=6.845999717712402
ph5_time=8.94601559638977, ph6_time=6.906984329223633
ph5_time=9.143999576568604, ph6_time=6.7829999923706055
ph5_time=9.025000095367432, ph6_time=6.843000411987305
ph5_time=9.050009489059448, ph6_time=6.84699010848999
ph5_time=9.045999765396118, ph6_time=6.8520002365112305
ph5_time=9.086008310317993, ph6_time=6.899991750717163
ph5_time=9.078981399536133, ph6_time=6.866000175476074
ph5_time=9.109010219573975, ph6_time=6.906008243560791
ph5_time=9.086007833480835, ph6_time=6.8119895458221436
ph5_time=9.141005754470825, ph6_time=6.9589855670928955
ph5_time=9.137985706329346, ph6_time=6.930012226104736
ph5_time=8.996999979019165, ph6_time=6.862013101577759
ph5_time=9.003010272979736, ph6_time=6.785989999771118
ph5_time=8.967999696731567, ph6_time=6.815999984741211
ph5_time=9.045011520385742, ph6_time=6.832988977432251
ph5_time=9.007016897201538, ph6_time=6.85498309135437
ph5_time=9.04800009727478, ph6_time=6.852999925613403
ph5_time=9.155999422073364, ph6_time=6.898000717163086
ph5_time=9.085988521575928, ph6_time=6.839000940322876
ph5_time=9.07300615310669, ph6_time=6.893994569778442
ph5_time=9.06400990486145, ph6_time=6.7739996910095215
ph5_time=9.06499981880188, ph6_time=6.942981243133545
ph5_time=9.201014518737793, ph6_time=6.9610044956207275
ph5_time=9.133338928222656, ph6_time=6.973068475723267
ph5_time=9.152019262313843, ph6_time=6.851855516433716
ph5_time=9.03700876235962, ph6_time=6.873991250991821
ph5_time=9.06199026107788, ph6_time=6.785999774932861
ph5_time=9.462523698806763, ph6_time=6.919999599456787
ph5_time=9.6175377368927, ph6_time=7.108020305633545
ph5_time=9.298669815063477, ph6_time=7.102932453155518
ph5_time=9.232551336288452, ph6_time=6.965278625488281
ph5_time=9.12915301322937, ph6_time=7.0817201137542725
ph5_time=9.046365022659302, ph6_time=6.864781141281128
ph5_time=9.17879319190979, ph6_time=6.901859521865845
ph5_time=8.9969801902771, ph6_time=6.887981414794922
ph5_time=9.021122932434082, ph6_time=6.78032922744751
ph5_time=8.951740980148315, ph6_time=6.826217889785767
ph5_time=9.021281242370605, ph6_time=6.87140965461731
ph5_time=9.112292051315308, ph6_time=6.880538702011108
ph5_time=9.100922584533691, ph6_time=6.9488372802734375
ph5_time=9.042545080184937, ph6_time=6.954946517944336
ph5_time=9.129870414733887, ph6_time=6.856139421463013
ph5_time=8.984808206558228, ph6_time=6.838805913925171
ph5_time=9.016686916351318, ph6_time=6.819497585296631
ph5_time=8.991121292114258, ph6_time=6.827080488204956
